trial_id,method,evaluation_index,lambda,gamma,log_lam,log_gam,objective_value,mean_return,mean_risk,stability_score
6,Grid Search,9,0.01,100.0,-2.0,2.0,0.0037500008213962027,0.05749999995153629,0.02687499827521876,5.159405129202604e-10
1,Grid Search,9,0.01,100.0,-2.0,2.0,0.003749640172467138,0.057499999661603865,0.026874999538361945,7.208248256724315e-08
2,Grid Search,9,0.01,100.0,-2.0,2.0,0.003749994684165762,0.0574999996941066,0.026874999138378625,1.3466367181260075e-09
4,Grid Search,9,0.01,100.0,-2.0,2.0,0.003749998678489951,0.05749999958346154,0.026874999579100032,3.493543048421586e-10
0,Grid Search,9,0.01,100.0,-2.0,2.0,0.0037499588605778263,0.057499999050199896,0.026874996589007143,9.402321556536887e-09
9,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.009598249192061068,0.05749993700123987,0.026874922688393515,0.002669668163302782
3,Random Search,0,0.019622629469789644,0.42909823290065635,-1.7072427967672903,-0.36744327396202436,0.003503540169952444,0.0575000026469749,0.02687500352164064,4.929108674823555e-05
4,Random Search,0,0.03481044084925429,1.1749469794040504,-1.4582904766529095,0.07001826909985054,0.003734334112543536,0.05750002075253946,0.026875031598306617,3.124688676538216e-06
2,Random Search,0,2.6982751371800027,4.7427736171361605,0.4310862316467601,0.6760323953297203,0.019724163709196177,0.03259531505416559,0.0036876338156668327,0.0010991767427271499
5,Random Search,0,0.07790679007460533,0.9217883996944684,-1.1084246891384537,-0.0353687615840097,0.0035572323965948434,0.05750000156892751,0.026875001852800107,3.8553093346490634e-05
8,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.07159600141912201,0.05749993390521836,0.026874916391067892,0.015069220508440916
0,Random Search,0,0.03610597867667364,11.3855964257761,-1.4424208786676695,1.0563557857319177,0.003749449512610323,0.057500002137069794,0.026874998306349426,1.1120235212404542e-07
